CensusId,Colony Id,Lat,Lon,Province,Common name,Date of census,Colony size units,Colony size,Derivation method,Quality of estimate,Common Name,County,Nearest water,Coastal block,Ocean region,Latin Name,Time start (24:00),Time end (24:00),Duration of census if > 1d,Species code,Phase of breeding cycle,Survey method,Platform,Individuals,Pairs,Apparently occupied sites,All nests,Burrows,Holes,Nests with eggs,Nests with chicks,Nests with eggs or chicks,Empty nests,Eggs,Young,k-value,Burrow density (per m²),Colony area (ha),Height of colony above water (m),Prop. burrrows occupied,Prop. holes occupied,Data received how?,Data location,Colony size error,Rep_No_individuals,Rep_No_pairs,Rep_No_AOS,Rep_No_nests,Rep_no_holes,Rep_No_with_eggs,Rep_No_with_chicks,Rep_No_active_nests,Rep_No_empty_nests,Rep_No_eggs,Rep_No_young,Colony area measured how?,Error type,Rep_no_burrows,Presence,Record creator,Record create date,Principal investigator,Current contact,Observer 1,Observer 2,Data compiler,Lead agency,Aircraft make,Pilot name,Charter company name,Photographer name,Camera model,Citation for k-value,Photo count method,Censuses.Source,Censuses.Notes,Altitude (feet),Speed (kts),Date
15493,"Cape St. Marys, NF",46.83323,-54.19889,NF,Northern Gannet,1-Aug-18,Pair,14598,Count used directly,Best,Northern Gannet,,Placentia Bay,788,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,14598,,,,,,,,,,,,,,,,,CWS St. John's,,,,Actual number counted,,,,,,,,,,,,,,21-Sep-18,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.","Fitzsimmons, M.","Wilhelm, S.",CWS,Bell 206LR,,NL Helicopters,"Wilhelm, S.",Canon,,Visual computer counter,,,,,1-Aug-18
15492,"Funk Island, NF",49.75877,-53.17636,NF,Northern Gannet,26-Jul-18,Pair,10964,Count used directly,Best,Northern Gannet,,Atlantic Ocean,691,,Morus bassana,,,,"NOGA, Northern Gannet",Eggs and chicks,Photo count,Aircraft,,,10964,,,,,,,,,,,,,,,,,CWS St. John's,,,,Actual number counted,,,,,,,,,,,,,,12-Sep-18,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.","Fitzsimmons, M.","Wilhelm, S.",CWS,Bell 206LR,,NF Helicopters,"Wilhelm, S.",Nikon,,Visual computer counter,,,,,26-Jul-18
15494,"Baccalieu Island, NF",48.11655,-52.79882,NF,Northern Gannet,26-Jul-18,Pair,3488,Count used directly,Best,Northern Gannet,,Conception Bay,750,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,3488,,,,,,,,,,,,,,,,,CWS St. John's,,,,Actual number counted,,,,,,,,,,,,,,21-Sep-18,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.","Fitzsimmons, M.","Wilhelm, S.",CWS,Bell 206LR,,NL Helicopters,"Wilhelm, S.",Canon,,Visual computer counter,,,,,26-Jul-18
13378,"Green Island 1, NS",43.68891,-66.14406,NS,Northern Gannet,5-Jun-16,Individual,1,Count used directly,Best,Northern Gannet,Yarmouth,Lobster Bay,135,,Morus bassana,,,,"NOGA, Northern Gannet",Egg only,Direct count,Ground,1,,,,,,,,,,,,,,,,,,e-bird,,,Actual number counted,,,,,,,,,,,,,,,,26-Sep-16,"Wilhelm, S.","Wilhelm, S.","d'Entremont, A.","Dennis, M.","Wilhelm, S.",CWS,,,,,,,,http://ebird.org/ebird/view/checklist/S30102058,"Third year in a row that an adult NOGA has been on Green Island. On the island on the eastern side with the Double-crested Cormorants. The last two years it has been on the western side, again with the DCCO.",,,5-Jun-16
13992,"Machias Seal Island, NB",44.50182,-67.10187,NB,Northern Gannet,1-Jan-16,Pair,3,Count used directly,Best,Northern Gannet,Charlotte,Bay of Fundy,25,,Morus bassana,,,,"NOGA, Northern Gannet",Breeding season,Direct count,Ground,,,,,,,3,,,,,,,,,,,,ACSWoG meeting,,,,,,,,Actual number counted,,,,,,,,,,,7-Jun-17,"Diamond, T.",,,,,UNB,,,,,,,,,,,,1-Jan-16
13966,"Funk Island, NF",49.75877,-53.17636,NF,Northern Gannet,21-Jul-14,Pair,10198,Count used directly,Best,Northern Gannet,,Atlantic Ocean,691,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,10198,,,,,,,,,,,,,,,,,CWS St. John's,,,,Actual number counted,,,,,,,,,,,,,,17-Feb-17,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.",,"Wilhelm, S.",CWS,Beaver,"Ploughman, G.",Thorburn Aviation,"Wilhelm, S.",,,Computer image analysis,,,,,21-Jul-14
13967,"Baccalieu Island, NF",48.11655,-52.79882,NF,Northern Gannet,21-Jul-14,Pair,3241,Count used directly,Best,Northern Gannet,,Conception Bay,750,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,3241,,,,,,,,,,,,,,,,,CWS St. John's,,,,Actual number counted,,,,,,,,,,,,,,17-Feb-17,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.",,"Wilhelm, S.",CWS,Beaver,"Ploughman, G.",Thorburn Aviation,"Wilhelm, S.",,,Computer image analysis,,,,,21-Jul-14
12378,"Funk Island, NF",49.75877,-53.17636,NF,Northern Gannet,19-Jul-13,Pair,10156,Count used directly,Best,Northern Gannet,,Atlantic Ocean,691,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,10156,,,,,,,,,,,,,,,,Directly from photocounts,St. John's office,,,,Actual number counted,,,,,,,,,,,,,,3-Feb-15,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.","Ryan, P.","Wilhelm, S.",CWS,Beaver,"Ploughman, G.",Thorburn Aviation,"Wilhelm, S.",Canon EOS,,Visual computer counter,,,,,19-Jul-13
12379,"Baccalieu Island, NF",48.11655,-52.79882,NF,Northern Gannet,19-Jul-13,Pair,3092,Count used directly,Best,Northern Gannet,,Conception Bay,750,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,3092,,,,,,,,,,,,,,,,Directly from photocounts,St. John's office,,,,Actual number counted,,,,,,,,,,,,,,3-Feb-15,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.","Ryan, P.","Wilhelm, S.",CWS,Beaver,"Ploughman, G.",Thorburn Aviation,"Wilhelm, S.",Canon EOS,,Visual computer counter,,,,,19-Jul-13
12377,"Cape St. Marys, NF",46.83323,-54.19889,NF,Northern Gannet,19-Jul-13,Pair,13515,Count used directly,Best,Northern Gannet,,Placentia Bay,788,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,13515,,,,,,,,,,,,,,,,Direct from photocounts,St. John's office,,,,Actual number counted,,,,,,,,,,,,,,3-Feb-15,"Wilhelm, S.","Wilhelm, S.","Wilhelm, S.","Ryan, P.","Wilhelm, S.",CWS,Beaver,"Ploughman, G.",Thorburn Aviation,"Wilhelm, S.",Canon EOS,,Visual computer counter,,,,,19-Jul-13
10108,"Funk Island, NF",49.75877,-53.17636,NF,Northern Gannet,23-Jul-12,Pair,9203,Count used directly,Best,Northern Gannet,,Atlantic Ocean,691,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,9203,,,,,,,,,,,,,,,,,,,,,Actual number counted,,,,,,,,,,,,,,23-May-13,"Wilhelm, S.",,"Wilhelm, S.",,"Wilhelm, S.",CWS,,,,,,,,,,,,23-Jul-12
10107,"Baccalieu Island, NF",48.11655,-52.79882,NF,Northern Gannet,23-Jul-12,Pair,2564,Count used directly,Best,Northern Gannet,,Conception Bay,750,,Morus bassana,,,,"NOGA, Northern Gannet",Chicks only,Photo count,Aircraft,,,2564,,,,,,,,,,,,,,,,,,,,,Actual number counted,,,,,,,,,,,,,,23-May-13,"Wilhelm, S.",,"Wilhelm, S.",,"Wilhelm, S.",CWS,,,,,,,,,,,,23-Jul-12
